National_Dex,Name,Type_1,Type_2,Total_Base_Stats,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Height_m,Weight_kg,Catch_Rate,Legendary_Status
324,Torkoal,Fire,None,470,70,85,140,85,70,20,3,0.5,80.4,90,False
325,Spoink,Psychic,None,290,60,25,35,70,80,60,3,0.7,28.4,255,False
326,Grumpig,Psychic,None,470,80,45,65,90,110,80,3,0.9,71.5,60,False
327,Spinda,Normal,None,360,60,60,60,60,60,60,3,1.1,5.0,255,False
328,Trapinch,Ground,None,290,45,100,45,45,45,10,3,0.7,15.0,255,False
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,1.1,15.3,120,False
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,2.0,82.0,45,False
331,Cacnea,Grass,None,330,50,85,40,85,40,35,3,0.4,51.3,190,False
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,1.3,77.0,60,False
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,0.4,1.2,255,False
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,1.1,20.6,45,False
335,Zangoose,Normal,None,460,73,115,60,60,60,90,3,1.3,40.3,90,False
336,Seviper,Poison,None,460,73,100,60,100,60,65,3,2.7,52.5,90,False
337,Lunatone,Rock,Psychic,460,90,55,65,105,85,70,3,1.0,168.0,45,False
338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,3,1.2,113.0,45,False
339,Barboach,Water,Ground,288,50,48,43,46,41,60,3,0.4,1.9,190,False
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,0.9,23.6,75,False
341,Corphish,Water,None,308,43,80,65,50,35,35,3,0.6,11.5,205,False
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,1.1,32.8,155,False
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,0.5,21.5,255,False
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,1.5,108.0,90,False
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,3,1.0,23.8,45,False
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,1.5,60.4,45,False
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,3,0.7,12.5,45,False
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,1.5,68.2,45,False
349,Feebas,Water,None,200,20,15,20,10,55,80,3,0.6,7.4,255,False
350,Milotic,Water,None,540,95,60,79,100,125,81,3,6.2,162.0,60,False
351,Castform,Normal,None,420,70,70,70,70,70,70,3,0.3,0.8,45,False
352,Kecleon,Normal,None,430,60,90,70,60,120,40,3,1.0,22.0,200,False
353,Shuppet,Ghost,None,295,44,75,35,63,33,45,3,0.6,2.3,225,False
354,Banette,Ghost,None,455,64,115,65,83,63,65,3,1.1,12.5,45,False
355,Duskull,Ghost,None,295,20,40,90,30,90,25,3,0.8,15.0,190,False
356,Dusclops,Ghost,None,455,40,70,130,60,130,25,3,1.6,30.6,90,False
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,2.0,100.0,200,False
358,Chimecho,Psychic,None,455,65,50,70,95,80,65,3,0.6,1.0,45,False
359,Absol,Dark,None,465,65,130,60,75,60,75,3,1.2,47.0,30,False
360,Wynaut,Psychic,None,260,95,23,48,23,48,23,3,0.6,14.0,125,False
361,Snorunt,Ice,None,300,50,50,50,50,50,50,3,0.7,16.8,190,False
362,Glalie,Ice,None,480,80,80,80,80,80,80,3,1.5,256.5,75,False
363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,0.8,39.5,255,False
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,3,1.1,87.6,120,False
365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,1.4,150.6,45,False
366,Clamperl,Water,None,345,35,64,85,74,55,32,3,0.4,52.5,190,False
367,Huntail,Water,None,485,55,104,105,94,75,52,3,1.7,27.0,60,False
368,Gorebyss,Water,None,485,55,84,105,114,75,52,3,1.8,22.6,60,False
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,1.0,23.4,25,False
370,Luvdisc,Water,None,330,43,30,55,40,65,97,3,0.6,8.7,225,False
371,Bagon,Dragon,None,300,45,75,60,40,30,50,3,0.6,42.1,45,False
372,Shelgon,Dragon,None,420,65,95,100,60,50,50,3,1.1,110.5,45,False
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,1.5,102.6,45,False
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,0.6,95.2,3,False
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,3,1.2,202.5,3,False
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,1.6,550.0,3,False
377,Regirock,Rock,None,580,80,100,200,50,100,50,3,1.7,230.0,3,Legendary
378,Regice,Ice,None,580,80,50,100,100,200,50,3,1.8,175.0,3,Legendary
379,Registeel,Steel,None,580,80,75,150,75,150,50,3,1.9,205.0,3,Legendary
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,1.4,40.0,3,Legendary
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,2.0,60.0,3,Legendary
382,Kyogre,Water,None,670,100,100,90,150,140,90,3,4.5,352.0,5,Legendary
383,Groudon,Ground,None,670,100,150,140,100,90,90,3,3.5,950.0,5,Legendary
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,7.0,206.5,45,Legendary
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,0.3,1.1,3,Mythical
386,Deoxys,Psychic,None,600,50,150,50,150,50,150,3,1.7,60.8,3,Mythical
387,Turtwig,Grass,None,318,55,68,64,45,55,31,4,0.4,10.2,45,False
388,Grotle,Grass,None,405,75,89,85,55,65,36,4,1.1,97.0,45,False
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,2.2,310.0,45,False
390,Chimchar,Fire,None,318,44,58,44,58,44,61,4,0.5,6.2,45,False
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,0.9,22.0,45,False
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,4,1.2,55.0,45,False
393,Piplup,Water,None,318,53,51,53,61,56,40,4,0.4,5.2,45,False
394,Prinplup,Water,None,405,64,66,68,81,76,50,4,0.8,23.0,45,False
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,1.7,84.5,45,False
396,Starly,Normal,Flying,245,40,55,30,30,30,60,4,0.3,2.0,255,False
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,0.6,15.5,120,False
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,1.2,24.9,45,False
399,Bidoof,Normal,None,250,59,45,40,35,40,31,4,0.5,20.0,255,False
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,4,1.0,31.5,127,False
401,Kricketot,Bug,None,194,37,25,41,25,41,25,4,0.3,2.2,255,False
402,Kricketune,Bug,None,384,77,85,51,55,51,65,4,1.0,25.5,45,False
403,Shinx,Electric,None,263,45,65,34,40,34,45,4,0.5,9.5,235,False
404,Luxio,Electric,None,363,60,85,49,60,49,60,4,0.9,30.5,120,False
405,Luxray,Electric,None,523,80,120,79,95,79,70,4,1.4,42.0,45,False
406,Budew,Grass,Poison,280,40,30,35,50,70,55,4,0.2,1.2,255,False
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,0.9,14.5,75,False
408,Cranidos,Rock,None,350,67,125,40,30,30,58,4,0.9,31.5,45,False
409,Rampardos,Rock,None,495,97,165,60,65,50,58,4,1.6,102.5,45,False
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,4,0.5,57.0,45,False
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,1.3,149.5,45,False
412,Burmy,Bug,None,224,40,29,45,29,45,36,4,0.5,3.4,120,False
413,Wormadam,Bug,Steel,424,60,59,85,79,105,36,4,0.5,6.5,45,False
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,4,0.9,23.3,45,False
415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,0.3,5.5,120,False
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,4,1.2,38.5,45,False
417,Pachirisu,Electric,None,405,60,45,70,45,90,95,4,0.4,3.9,200,False
418,Buizel,Water,None,330,55,65,35,60,30,85,4,0.7,29.5,190,False
419,Floatzel,Water,None,495,85,105,55,85,50,115,4,1.1,33.5,75,False
420,Cherubi,Grass,None,275,45,35,45,62,53,35,4,0.4,3.3,190,False
421,Cherrim,Grass,None,450,70,60,70,87,78,85,4,0.5,9.3,75,False
422,Shellos,Water,None,325,76,48,48,57,62,34,4,0.3,6.3,190,False
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,0.9,29.9,75,False
424,Ambipom,Normal,None,480,75,100,66,60,66,115,4,1.2,20.3,45,False
425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,0.4,1.2,125,False
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,4,1.2,15.0,60,False
427,Buneary,Normal,None,350,55,66,44,44,56,85,4,0.4,5.5,190,False
428,Lopunny,Normal,None,480,65,76,84,54,96,105,4,1.2,33.3,60,False
429,Mismagius,Ghost,None,495,60,60,60,105,105,105,4,0.9,4.4,45,False
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,0.9,27.3,30,False
431,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,0.4,19.2,225,False
432,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,1.0,38.0,60,False
433,Chingling,Psychic,None,285,45,30,50,65,50,45,4,0.2,0.6,120,False
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,0.4,19.2,225,False
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,4,1.0,38.0,60,False
436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,0.5,60.5,255,False
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,4,1.3,187.0,90,False
438,Bonsly,Rock,None,290,50,80,95,10,45,10,4,0.5,15.0,45,False
439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,4,0.6,13.0,145,False
440,Happiny,Normal,None,220,100,5,5,15,65,30,4,0.6,24.4,130,False
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,0.5,1.9,30,False
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,1.0,108.0,100,False
443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,0.7,20.5,45,False
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,1.4,56.0,45,False
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,4,1.9,95.0,45,False
446,Munchlax,Normal,None,390,135,85,40,40,85,5,4,0.6,105.0,50,False
447,Riolu,Fighting,None,285,40,70,40,35,40,60,4,0.7,20.2,75,False
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,4,1.2,54.0,45,False
449,Hippopotas,Ground,None,330,68,72,78,38,42,32,4,0.8,49.5,140,False
450,Hippowdon,Ground,None,525,108,112,118,68,72,47,4,2.0,300.0,60,False
451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,4,0.8,12.0,120,False
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,1.3,61.5,45,False
453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,0.7,23.0,140,False
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,1.3,44.4,75,False
455,Carnivine,Grass,None,454,74,100,72,90,72,46,4,1.0,27.0,200,False
456,Finneon,Water,None,330,49,49,56,49,61,66,4,0.4,7.0,190,False
457,Lumineon,Water,None,460,69,69,76,69,86,91,4,1.2,24.0,75,False
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,1.0,65.0,25,False
459,Snover,Grass,Ice,335,60,62,50,62,60,40,4,1.0,50.5,120,False
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,2.2,135.5,45,False
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,1.1,34.0,45,False
462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,4,1.2,180.0,30,False
463,Lickilicky,Normal,None,515,110,85,95,80,95,50,4,1.7,140.0,30,False
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,4,2.4,282.8,30,False
465,Tangrowth,Grass,None,535,100,100,125,110,50,50,4,2.0,128.6,30,False
466,Electivire,Electric,None,540,75,123,67,95,85,95,4,1.8,138.6,30,False
467,Magmortar,Fire,None,540,75,95,67,125,95,83,4,1.6,68.0,30,False
468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,4,1.5,38.0,30,False
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,1.9,51.5,30,False
470,Leafeon,Grass,None,525,65,110,130,60,65,95,4,1.0,25.5,45,False
471,Glaceon,Ice,None,525,65,60,110,130,95,65,4,0.8,25.9,45,False
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,4,2.0,42.5,30,False
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,2.5,291.0,50,False
474,Porygon-Z,Normal,None,535,85,80,70,135,75,90,4,0.9,34.0,45,False
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,1.6,52.0,45,False
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,1.4,340.0,60,False
477,Dusknoir,Ghost,None,525,45,100,135,65,135,45,4,2.2,106.6,45,False
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,1.3,26.6,75,False
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,4,0.3,0.3,45,False
480,Uxie,Psychic,None,580,75,75,130,75,130,95,4,0.3,0.3,3,Legendary
481,Mesprit,Psychic,None,580,80,105,105,105,105,80,4,0.3,0.3,3,Legendary
482,Azelf,Psychic,None,580,75,125,70,125,70,115,4,0.3,0.3,3,Legendary
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,5.4,683.0,30,Legendary
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,4,4.2,336.0,30,Legendary
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,1.7,430.0,3,Legendary
486,Regigigas,Normal,None,670,110,160,110,80,110,100,4,3.7,420.0,3,Legendary
487,Giratina,Ghost,Dragon,680,150,100,120,100,120,90,4,4.5,750.0,3,Legendary
488,Cresselia,Psychic,None,600,120,70,120,75,130,85,4,1.5,85.6,3,Legendary
489,Phione,Water,None,480,80,80,80,80,80,80,4,0.4,3.1,3,Mythical
490,Manaphy,Water,None,600,100,100,100,100,100,100,4,0.3,1.4,3,Mythical
491,Darkrai,Dark,None,600,70,90,90,135,90,125,4,1.5,50.5,3,Mythical
492,Shaymin,Grass,None,600,100,100,100,100,100,100,4,0.2,2.1,45,Mythical
493,Arceus,Normal,None,720,120,120,120,120,120,120,4,3.2,320.0,3,Mythical
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,0.4,4.0,3,Mythical
495,Snivy,Grass,None,308,45,45,55,45,55,63,5,0.6,8.1,45,False
496,Servine,Grass,None,413,60,60,75,60,75,83,5,0.8,16.0,45,False
497,Serperior,Grass,None,528,75,75,95,75,95,113,5,3.3,63.0,45,False
498,Tepig,Fire,None,308,65,63,45,45,45,45,5,0.5,9.9,45,False
499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,1.0,55.5,45,False
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,1.6,150.0,45,False
